name,joints,link_length,prev_axe,dof,mu,time,Z,LCI,Passed
roll_z_0_1roll_y_0_1pitch_y_0_1pitch_y_0_1pitch_x_0_4roll_y_0_7,roll_roll__pitch__pitch__pitch__roll_,0.1_0.1__0.1__0.1__0.4__0.7_,z_y__y__y__x__y_,6,0.031,3.02,0.001,,1
roll_z_0_1roll_y_0_4pitch_y_0_4pitch_y_0_1pitch_x_0_1roll_x_0_1,roll_roll__pitch__pitch__pitch__roll_,0.1_0.4__0.4__0.1__0.1__0.1_,z_y__y__y__x__x_,6,0.086,2.23,0.001,,1
roll_z_0_1roll_y_0_4pitch_y_0_1pitch_y_0_4roll_y_0_1pitch_y_0_1,roll_roll__pitch__pitch__roll__pitch_,0.1_0.4__0.1__0.4__0.1__0.1_,z_y__y__y__y__y_,6,0.114,2.78,0.001,,1
roll_z_0_1roll_y_0_7pitch_y_0_7pitch_y_0_4pitch_y_0_1pitch_z_0_4,roll_roll__pitch__pitch__pitch__pitch_,0.1_0.7__0.7__0.4__0.1__0.4_,z_y__y__y__y__z_,6,0.066,2.56,0.002,,1
roll_z_0_1roll_y_0_7roll_y_0_1pitch_y_0_4roll_x_0_4roll_y_0_7,roll_roll__roll__pitch__roll__roll_,0.1_0.7__0.1__0.4__0.4__0.7_,z_y__y__y__x__y_,6,0.11,3.49,0.002,,1
roll_z_0_1roll_y_0_1roll_y_0_1pitch_y_0_7pitch_y_0_1pitch_z_0_4,roll_roll__roll__pitch__pitch__pitch_,0.1_0.1__0.1__0.7__0.1__0.4_,z_y__y__y__y__z_,6,0.185,2.41,0.003,,1
roll_z_0_1roll_y_0_1pitch_y_0_1pitch_y_0_1pitch_x_0_7roll_z_0_4,roll_roll__pitch__pitch__pitch__roll_,0.1_0.1__0.1__0.1__0.7__0.4_,z_y__y__y__x__z_,6,0.113,3.63,0.004,,1
roll_z_0_1roll_y_0_7pitch_y_0_1pitch_y_0_1pitch_z_0_4roll_z_0_1,roll_roll__pitch__pitch__pitch__roll_,0.1_0.7__0.1__0.1__0.4__0.1_,z_y__y__y__z__z_,6,0.195,2.49,0.004,,1
roll_z_0_1roll_y_0_7roll_y_0_7pitch_y_0_4roll_y_0_1roll_y_0_4,roll_roll__roll__pitch__roll__roll_,0.1_0.7__0.7__0.4__0.1__0.4_,z_y__y__y__y__y_,6,0.194,1.91,0.004,,1
roll_z_0_1roll_y_0_1pitch_y_0_1pitch_y_0_1pitch_x_0_7roll_y_0_4,roll_roll__pitch__pitch__pitch__roll_,0.1_0.1__0.1__0.1__0.7__0.4_,z_y__y__y__x__y_,6,0.117,3.24,0.005,,1
roll_z_0_1roll_y_0_1pitch_y_0_1pitch_y_0_1pitch_z_0_7roll_x_0_4,roll_roll__pitch__pitch__pitch__roll_,0.1_0.1__0.1__0.1__0.7__0.4_,z_y__y__y__z__x_,6,0.16,2.73,0.005,,1
roll_z_0_1roll_y_0_1pitch_y_0_1pitch_y_0_1pitch_z_0_7roll_z_0_4,roll_roll__pitch__pitch__pitch__roll_,0.1_0.1__0.1__0.1__0.7__0.4_,z_y__y__y__z__z_,6,0.191,2.61,0.005,,1
roll_z_0_1roll_y_0_7pitch_y_0_1pitch_y_0_1pitch_z_0_1roll_x_0_4,roll_roll__pitch__pitch__pitch__roll_,0.1_0.7__0.1__0.1__0.1__0.4_,z_y__y__y__z__x_,6,0.163,2.15,0.005,,1
roll_z_0_1roll_y_0_1pitch_y_0_1pitch_y_0_1roll_x_0_7pitch_y_0_4,roll_roll__pitch__pitch__roll__pitch_,0.1_0.1__0.1__0.1__0.7__0.4_,z_y__y__y__x__y_,6,0.199,2.48,0.005,,1
roll_z_0_1roll_y_0_7pitch_y_0_1pitch_y_0_4roll_x_0_1pitch_y_0_1,roll_roll__pitch__pitch__roll__pitch_,0.1_0.7__0.1__0.4__0.1__0.1_,z_y__y__y__x__y_,6,0.184,2.07,0.005,,1
roll_z_0_1roll_y_0_4pitch_y_0_1roll_y_0_4pitch_y_0_1pitch_y_0_1,roll_roll__pitch__roll__pitch__pitch_,0.1_0.4__0.1__0.4__0.1__0.1_,z_y__y__y__y__y_,6,0.186,1.86,0.005,,1
roll_z_0_1roll_y_0_4pitch_y_0_4roll_x_0_7roll_y_0_7roll_y_0_1,roll_roll__pitch__roll__roll__roll_,0.1_0.4__0.4__0.7__0.7__0.1_,z_y__y__x__y__y_,6,0.192,1.84,0.005,,1
roll_z_0_1roll_y_0_7pitch_y_0_4roll_x_0_1roll_y_0_1roll_y_0_7,roll_roll__pitch__roll__roll__roll_,0.1_0.7__0.4__0.1__0.1__0.7_,z_y__y__x__y__y_,6,0.173,2.0,0.005,,1
roll_z_0_1roll_y_0_7pitch_y_0_4roll_z_0_1roll_y_0_7roll_y_0_4,roll_roll__pitch__roll__roll__roll_,0.1_0.7__0.4__0.1__0.7__0.4_,z_y__y__z__y__y_,6,0.187,1.85,0.005,,1
roll_z_0_1roll_y_0_7pitch_y_0_4roll_z_0_7roll_y_0_4roll_y_0_1,roll_roll__pitch__roll__roll__roll_,0.1_0.7__0.4__0.7__0.4__0.1_,z_y__y__z__y__y_,6,0.172,2.45,0.005,,1
roll_z_0_1roll_y_0_7pitch_y_0_7roll_z_0_4roll_y_0_1roll_y_0_1,roll_roll__pitch__roll__roll__roll_,0.1_0.7__0.7__0.4__0.1__0.1_,z_y__y__z__y__y_,6,0.153,1.85,0.005,,1
roll_z_0_1roll_y_0_7roll_y_0_1pitch_y_0_1pitch_y_0_4pitch_z_0_1,roll_roll__roll__pitch__pitch__pitch_,0.1_0.7__0.1__0.1__0.4__0.1_,z_y__y__y__y__z_,6,0.185,2.04,0.005,,1
roll_z_0_1roll_y_0_1roll_y_0_4roll_y_0_4roll_y_0_7pitch_y_0_7,roll_roll__roll__roll__roll__pitch_,0.1_0.1__0.4__0.4__0.7__0.7_,z_y__y__y__y__y_,6,0.184,2.22,0.005,,1
roll_z_0_1roll_y_0_7roll_y_0_1roll_y_0_7roll_y_0_4pitch_y_0_1,roll_roll__roll__roll__roll__pitch_,0.1_0.7__0.1__0.7__0.4__0.1_,z_y__y__y__y__y_,6,0.16,1.89,0.005,,1
roll_z_0_1roll_y_0_7pitch_y_0_1pitch_y_0_1pitch_y_0_4pitch_x_0_7,roll_roll__pitch__pitch__pitch__pitch_,0.1_0.7__0.1__0.1__0.4__0.7_,z_y__y__y__y__x_,6,0.196,2.38,0.006,,1
roll_z_0_1roll_y_0_1pitch_y_0_1pitch_y_0_1pitch_z_0_7roll_y_0_1,roll_roll__pitch__pitch__pitch__roll_,0.1_0.1__0.1__0.1__0.7__0.1_,z_y__y__y__z__y_,6,0.169,2.47,0.006,,1
roll_z_0_1roll_y_0_1pitch_y_0_1pitch_y_0_1pitch_z_0_7roll_x_0_1,roll_roll__pitch__pitch__pitch__roll_,0.1_0.1__0.1__0.1__0.7__0.1_,z_y__y__y__z__x_,6,0.193,2.54,0.006,,1
roll_z_0_1roll_y_0_4pitch_y_0_1pitch_y_0_1pitch_z_0_4roll_z_0_4,roll_roll__pitch__pitch__pitch__roll_,0.1_0.4__0.1__0.1__0.4__0.4_,z_y__y__y__z__z_,6,0.192,2.48,0.006,,1
roll_z_0_1roll_y_0_1pitch_y_0_1pitch_y_0_1roll_x_0_4pitch_y_0_4,roll_roll__pitch__pitch__roll__pitch_,0.1_0.1__0.1__0.1__0.4__0.4_,z_y__y__y__x__y_,6,0.215,2.45,0.006,,1
roll_z_0_1roll_y_0_4roll_y_0_7pitch_y_0_1roll_x_0_1roll_y_0_7,roll_roll__roll__pitch__roll__roll_,0.1_0.4__0.7__0.1__0.1__0.7_,z_y__y__y__x__y_,6,0.185,2.53,0.006,,1
roll_z_0_1roll_y_0_4roll_y_0_7pitch_y_0_4roll_y_0_1roll_y_0_7,roll_roll__roll__pitch__roll__roll_,0.1_0.4__0.7__0.4__0.1__0.7_,z_y__y__y__y__y_,6,0.171,1.9,0.006,,1
roll_z_0_1roll_y_0_4roll_y_0_7pitch_y_0_7roll_z_0_4roll_y_0_1,roll_roll__roll__pitch__roll__roll_,0.1_0.4__0.7__0.7__0.4__0.1_,z_y__y__y__z__y_,6,0.195,2.17,0.006,,1
roll_z_0_1roll_y_0_7roll_y_0_1roll_y_0_7pitch_y_0_1roll_x_0_4,roll_roll__roll__roll__pitch__roll_,0.1_0.7__0.1__0.7__0.1__0.4_,z_y__y__y__y__x_,6,0.182,2.0,0.006,,1
roll_z_0_1roll_y_0_4roll_y_0_1roll_y_0_1roll_y_0_7pitch_y_0_7,roll_roll__roll__roll__roll__pitch_,0.1_0.4__0.1__0.1__0.7__0.7_,z_y__y__y__y__y_,6,0.184,2.11,0.006,,1
roll_z_0_1roll_y_0_4roll_y_0_7roll_y_0_7roll_y_0_1pitch_y_0_4,roll_roll__roll__roll__roll__pitch_,0.1_0.4__0.7__0.7__0.1__0.4_,z_y__y__y__y__y_,6,0.19,2.44,0.006,,1
roll_z_0_1roll_y_0_1pitch_y_0_1pitch_y_0_7pitch_x_0_1roll_z_0_4,roll_roll__pitch__pitch__pitch__roll_,0.1_0.1__0.1__0.7__0.1__0.4_,z_y__y__y__x__z_,6,0.413,3.32,0.007,,1
roll_z_0_1roll_y_0_4roll_y_0_7roll_y_0_4pitch_y_0_1roll_z_0_7,roll_roll__roll__roll__pitch__roll_,0.1_0.4__0.7__0.4__0.1__0.7_,z_y__y__y__y__z_,6,0.169,2.16,0.007,,1
roll_z_0_1roll_y_0_1roll_y_0_7roll_y_0_7pitch_y_0_4roll_x_0_1,roll_roll__roll__roll__pitch__roll_,0.1_0.1__0.7__0.7__0.4__0.1_,z_y__y__y__y__x_,6,0.168,2.11,0.008,,1
roll_z_0_1roll_y_0_7roll_y_0_7pitch_y_0_1roll_x_0_4roll_y_0_4,roll_roll__roll__pitch__roll__roll_,0.1_0.7__0.7__0.1__0.4__0.4_,z_y__y__y__x__y_,6,0.184,2.35,0.009,,1
roll_z_0_1roll_y_0_7roll_y_0_1roll_y_0_4pitch_y_0_1roll_z_0_7,roll_roll__roll__roll__pitch__roll_,0.1_0.7__0.1__0.4__0.1__0.7_,z_y__y__y__y__z_,6,0.17,2.14,0.009,,1
roll_z_0_1roll_y_0_7pitch_y_0_1pitch_y_0_4pitch_y_0_1pitch_x_0_7,roll_roll__pitch__pitch__pitch__pitch_,0.1_0.7__0.1__0.4__0.1__0.7_,z_y__y__y__y__x_,6,0.184,2.55,0.01,,1
roll_z_0_1roll_y_0_4pitch_y_0_1roll_z_0_4pitch_y_0_1pitch_y_0_1,roll_roll__pitch__roll__pitch__pitch_,0.1_0.4__0.1__0.4__0.1__0.1_,z_y__y__z__y__y_,6,0.188,1.82,0.01,,1
roll_z_0_1roll_y_0_4pitch_y_0_7roll_y_0_1roll_y_0_4roll_y_0_7,roll_roll__pitch__roll__roll__roll_,0.1_0.4__0.7__0.1__0.4__0.7_,z_y__y__y__y__y_,6,0.188,2.47,0.01,,1
roll_z_0_1roll_y_0_1roll_y_0_1pitch_y_0_4roll_y_0_7roll_y_0_7,roll_roll__roll__pitch__roll__roll_,0.1_0.1__0.1__0.4__0.7__0.7_,z_y__y__y__y__y_,6,0.18,2.19,0.01,,1
roll_z_0_1roll_y_0_4roll_y_0_7pitch_y_0_4roll_z_0_7roll_y_0_1,roll_roll__roll__pitch__roll__roll_,0.1_0.4__0.7__0.4__0.7__0.1_,z_y__y__y__z__y_,6,0.179,2.17,0.01,,1
roll_z_0_1pris_y_0_7roll_y_0_7pitch_y_0_4roll_z_0_7roll_y_0_7,roll_pris__roll__pitch__roll__roll_,0.1_0.7__0.7__0.4__0.7__0.7_,z_y__y__y__z__y_,6,0.205,2.28,0.011,,1
roll_z_0_1pris_y_0_7roll_z_0_1roll_y_0_7pitch_y_0_1pitch_y_0_7,roll_pris__roll__roll__pitch__pitch_,0.1_0.7__0.1__0.7__0.1__0.7_,z_y__z__y__y__y_,6,0.212,2.16,0.011,,1
roll_z_0_1roll_y_0_4pitch_y_0_7pitch_y_0_7pitch_y_0_4pitch_x_0_1,roll_roll__pitch__pitch__pitch__pitch_,0.1_0.4__0.7__0.7__0.4__0.1_,z_y__y__y__y__x_,6,0.163,1.99,0.011,,1
roll_z_0_1roll_y_0_1pitch_y_0_1pitch_y_0_1pitch_z_0_7roll_y_0_4,roll_roll__pitch__pitch__pitch__roll_,0.1_0.1__0.1__0.1__0.7__0.4_,z_y__y__y__z__y_,6,0.167,2.5,0.011,,1
roll_z_0_1roll_y_0_7pitch_y_0_1roll_x_0_4pitch_y_0_1pitch_y_0_1,roll_roll__pitch__roll__pitch__pitch_,0.1_0.7__0.1__0.4__0.1__0.1_,z_y__y__x__y__y_,6,0.156,1.81,0.011,,1
roll_z_0_1roll_y_0_7pitch_y_0_4roll_y_0_7roll_y_0_4roll_y_0_1,roll_roll__pitch__roll__roll__roll_,0.1_0.7__0.4__0.7__0.4__0.1_,z_y__y__y__y__y_,6,0.172,1.96,0.011,,1
roll_z_0_1roll_y_0_1roll_y_0_1pitch_y_0_4pitch_y_0_4pitch_z_0_4,roll_roll__roll__pitch__pitch__pitch_,0.1_0.1__0.1__0.4__0.4__0.4_,z_y__y__y__y__z_,6,0.187,2.46,0.011,,1
roll_z_0_1roll_y_0_1roll_y_0_7pitch_y_0_1pitch_y_0_1pitch_z_0_1,roll_roll__roll__pitch__pitch__pitch_,0.1_0.1__0.7__0.1__0.1__0.1_,z_y__y__y__y__z_,6,0.177,1.79,0.011,,1
roll_z_0_1roll_y_0_4roll_y_0_4pitch_y_0_1pitch_y_0_4pitch_x_0_1,roll_roll__roll__pitch__pitch__pitch_,0.1_0.4__0.4__0.1__0.4__0.1_,z_y__y__y__y__x_,6,0.165,2.13,0.011,,1
roll_z_0_1roll_y_0_1roll_y_0_7pitch_y_0_4roll_x_0_7roll_y_0_4,roll_roll__roll__pitch__roll__roll_,0.1_0.1__0.7__0.4__0.7__0.4_,z_y__y__y__x__y_,6,0.172,2.17,0.011,,1
roll_z_0_1roll_y_0_4roll_y_0_4pitch_y_0_7roll_z_0_7roll_y_0_1,roll_roll__roll__pitch__roll__roll_,0.1_0.4__0.4__0.7__0.7__0.1_,z_y__y__y__z__y_,6,0.172,1.96,0.011,,1
roll_z_0_1roll_y_0_4roll_y_0_7pitch_y_0_1roll_z_0_1roll_y_0_7,roll_roll__roll__pitch__roll__roll_,0.1_0.4__0.7__0.1__0.1__0.7_,z_y__y__y__z__y_,6,0.182,2.44,0.011,,1
roll_z_0_1roll_y_0_4roll_y_0_7pitch_y_0_4roll_y_0_7roll_y_0_1,roll_roll__roll__pitch__roll__roll_,0.1_0.4__0.7__0.4__0.7__0.1_,z_y__y__y__y__y_,6,0.153,2.21,0.011,,1
roll_z_0_1roll_y_0_7roll_y_0_7pitch_y_0_4roll_x_0_4roll_y_0_1,roll_roll__roll__pitch__roll__roll_,0.1_0.7__0.7__0.4__0.4__0.1_,z_y__y__y__x__y_,6,0.2,2.13,0.011,,1
roll_z_0_1roll_y_0_1roll_y_0_1roll_y_0_7pitch_y_0_4roll_y_0_7,roll_roll__roll__roll__pitch__roll_,0.1_0.1__0.1__0.7__0.4__0.7_,z_y__y__y__y__y_,6,0.173,2.15,0.011,,1
roll_z_0_1roll_y_0_1roll_y_0_4roll_y_0_7pitch_y_0_7roll_x_0_1,roll_roll__roll__roll__pitch__roll_,0.1_0.1__0.4__0.7__0.7__0.1_,z_y__y__y__y__x_,6,0.188,2.31,0.011,,1
roll_z_0_1roll_y_0_7roll_y_0_1roll_y_0_7roll_y_0_4pitch_y_0_4,roll_roll__roll__roll__roll__pitch_,0.1_0.7__0.1__0.7__0.4__0.4_,z_y__y__y__y__y_,6,0.159,1.9,0.011,,1
roll_z_0_1pris_y_0_7roll_z_0_7roll_y_0_7pitch_y_0_1roll_z_0_7,roll_pris__roll__roll__pitch__roll_,0.1_0.7__0.7__0.7__0.1__0.7_,z_y__z__y__y__z_,6,0.181,2.18,0.012,,1
roll_z_0_1roll_y_0_4pitch_y_0_7pitch_y_0_1pitch_y_0_4pitch_z_0_7,roll_roll__pitch__pitch__pitch__pitch_,0.1_0.4__0.7__0.1__0.4__0.7_,z_y__y__y__y__z_,6,0.189,2.33,0.012,,1
roll_z_0_1roll_y_0_7pitch_y_0_1pitch_y_0_4pitch_y_0_4pitch_x_0_7,roll_roll__pitch__pitch__pitch__pitch_,0.1_0.7__0.1__0.4__0.4__0.7_,z_y__y__y__y__x_,6,0.178,2.24,0.012,,1
roll_z_0_1roll_y_0_1pitch_y_0_1pitch_y_0_1pitch_z_0_1roll_z_0_7,roll_roll__pitch__pitch__pitch__roll_,0.1_0.1__0.1__0.1__0.1__0.7_,z_y__y__y__z__z_,6,0.191,2.5,0.012,,1
roll_z_0_1roll_y_0_4pitch_y_0_1roll_z_0_7roll_y_0_4roll_y_0_7,roll_roll__pitch__roll__roll__roll_,0.1_0.4__0.1__0.7__0.4__0.7_,z_y__y__z__y__y_,6,0.197,1.86,0.012,,1
roll_z_0_1roll_y_0_4roll_y_0_1pitch_y_0_1pitch_y_0_7pitch_x_0_1,roll_roll__roll__pitch__pitch__pitch_,0.1_0.4__0.1__0.1__0.7__0.1_,z_y__y__y__y__x_,6,0.164,2.16,0.012,,1
roll_z_0_1roll_y_0_1roll_y_0_4pitch_y_0_1roll_x_0_7roll_y_0_7,roll_roll__roll__pitch__roll__roll_,0.1_0.1__0.4__0.1__0.7__0.7_,z_y__y__y__x__y_,6,0.155,1.98,0.012,,1
roll_z_0_1roll_y_0_4roll_y_0_7pitch_y_0_1roll_x_0_4roll_y_0_7,roll_roll__roll__pitch__roll__roll_,0.1_0.4__0.7__0.1__0.4__0.7_,z_y__y__y__x__y_,6,0.171,2.96,0.012,,1
roll_z_0_1roll_y_0_7roll_y_0_1pitch_y_0_4roll_y_0_7roll_y_0_1,roll_roll__roll__pitch__roll__roll_,0.1_0.7__0.1__0.4__0.7__0.1_,z_y__y__y__y__y_,6,0.185,2.23,0.012,,1
roll_z_0_1roll_y_0_7roll_y_0_4pitch_y_0_1roll_y_0_4roll_y_0_7,roll_roll__roll__pitch__roll__roll_,0.1_0.7__0.4__0.1__0.4__0.7_,z_y__y__y__y__y_,6,0.155,2.42,0.012,,1
roll_z_0_1roll_y_0_7roll_y_0_7roll_y_0_4pitch_y_0_4roll_z_0_1,roll_roll__roll__roll__pitch__roll_,0.1_0.7__0.7__0.4__0.4__0.1_,z_y__y__y__y__z_,6,0.193,2.1,0.012,,1
roll_z_0_1roll_y_0_7roll_y_0_4roll_y_0_7roll_y_0_4pitch_y_0_1,roll_roll__roll__roll__roll__pitch_,0.1_0.7__0.4__0.7__0.4__0.1_,z_y__y__y__y__y_,6,0.202,1.9,0.012,,1
roll_z_0_1roll_y_0_7pitch_y_0_1pitch_y_0_1pitch_y_0_4pitch_z_0_7,roll_roll__pitch__pitch__pitch__pitch_,0.1_0.7__0.1__0.1__0.4__0.7_,z_y__y__y__y__z_,6,0.199,2.27,0.013,,1
roll_z_0_1roll_y_0_1roll_y_0_4roll_y_0_7pitch_y_0_7roll_x_0_4,roll_roll__roll__roll__pitch__roll_,0.1_0.1__0.4__0.7__0.7__0.4_,z_y__y__y__y__x_,6,0.197,2.41,0.013,,1
roll_z_0_1roll_y_0_7roll_y_0_7roll_y_0_1roll_y_0_4pitch_y_0_1,roll_roll__roll__roll__roll__pitch_,0.1_0.7__0.7__0.1__0.4__0.1_,z_y__y__y__y__y_,6,0.174,2.19,0.013,,1
roll_z_0_1pris_y_0_7roll_y_0_7pitch_y_0_1pitch_y_0_7roll_y_0_1,roll_pris__roll__pitch__pitch__roll_,0.1_0.7__0.7__0.1__0.7__0.1_,z_y__y__y__y__y_,6,0.172,2.26,0.014,,1
roll_z_0_1roll_y_0_7roll_y_0_1pitch_y_0_1roll_y_0_4roll_y_0_7,roll_roll__roll__pitch__roll__roll_,0.1_0.7__0.1__0.1__0.4__0.7_,z_y__y__y__y__y_,6,0.189,2.02,0.014,,1
roll_z_0_1roll_y_0_7roll_y_0_7roll_y_0_4pitch_y_0_4roll_x_0_1,roll_roll__roll__roll__pitch__roll_,0.1_0.7__0.7__0.4__0.4__0.1_,z_y__y__y__y__x_,6,0.193,2.5,0.014,,1
roll_z_0_1pris_y_0_7roll_y_0_4pitch_y_0_4pitch_y_0_7roll_x_0_4,roll_pris__roll__pitch__pitch__roll_,0.1_0.7__0.4__0.4__0.7__0.4_,z_y__y__y__y__x_,6,0.202,2.36,0.015,,1
roll_z_0_1roll_y_0_1pitch_y_0_1pitch_y_0_4pitch_x_0_7roll_x_0_1,roll_roll__pitch__pitch__pitch__roll_,0.1_0.1__0.1__0.4__0.7__0.1_,z_y__y__y__x__x_,6,0.216,2.84,0.022,,1
roll_z_0_1roll_y_0_4pitch_y_0_1pitch_y_0_1pitch_x_0_1roll_z_0_4,roll_roll__pitch__pitch__pitch__roll_,0.1_0.4__0.1__0.1__0.1__0.4_,z_y__y__y__x__z_,6,0.113,2.62,0.038,,1
roll_z_0_1pitch_y_0_7roll_y_0_7pitch_y_0_1pitch_y_0_4pitch_y_0_1,roll_pitch__roll__pitch__pitch__pitch_,0.1_0.7__0.7__0.1__0.4__0.1_,z_y__y__y__y__y_,6,0.259,3.14,0.001,,1
roll_z_0_1roll_y_0_1pitch_y_0_1pitch_y_0_1pitch_z_0_4roll_x_0_7,roll_roll__pitch__pitch__pitch__roll_,0.1_0.1__0.1__0.1__0.4__0.7_,z_y__y__y__z__x_,6,0.139,3.42,0.002,,1
roll_z_0_1roll_y_0_1pitch_y_0_1pitch_y_0_1pitch_z_0_4roll_z_0_7,roll_roll__pitch__pitch__pitch__roll_,0.1_0.1__0.1__0.1__0.4__0.7_,z_y__y__y__z__z_,6,0.265,2.73,0.002,,1
roll_z_0_1roll_y_0_1pitch_y_0_1pitch_y_0_1pitch_x_0_7roll_x_0_1,roll_roll__pitch__pitch__pitch__roll_,0.1_0.1__0.1__0.1__0.7__0.1_,z_y__y__y__x__x_,6,0.032,4.05,0.003,,1
roll_z_0_1pitch_y_0_7roll_z_0_1roll_y_0_4roll_y_0_7roll_y_0_4,roll_pitch__roll__roll__roll__roll_,0.1_0.7__0.1__0.4__0.7__0.4_,z_y__z__y__y__y_,6,0.151,2.48,0.004,,1
roll_z_0_1pitch_y_0_7roll_y_0_4roll_y_0_7roll_y_0_1roll_y_0_4,roll_pitch__roll__roll__roll__roll_,0.1_0.7__0.4__0.7__0.1__0.4_,z_y__y__y__y__y_,6,0.199,2.48,0.004,,1
roll_z_0_1pitch_y_0_7roll_z_0_1pitch_y_0_1pitch_y_0_1roll_y_0_4,roll_pitch__roll__pitch__pitch__roll_,0.1_0.7__0.1__0.1__0.1__0.4_,z_y__z__y__y__y_,6,0.163,2.2,0.005,,1
roll_z_0_1pitch_y_0_7roll_z_0_1pitch_y_0_1pitch_y_0_1roll_x_0_4,roll_pitch__roll__pitch__pitch__roll_,0.1_0.7__0.1__0.1__0.1__0.4_,z_y__z__y__y__x_,6,0.202,2.16,0.005,,1
roll_z_0_1pitch_y_0_7roll_z_0_7roll_y_0_1roll_y_0_4roll_y_0_1,roll_pitch__roll__roll__roll__roll_,0.1_0.7__0.7__0.1__0.4__0.1_,z_y__z__y__y__y_,6,0.166,2.54,0.005,,1
roll_z_0_1pitch_y_0_7roll_z_0_7roll_y_0_4roll_y_0_4roll_y_0_1,roll_pitch__roll__roll__roll__roll_,0.1_0.7__0.7__0.4__0.4__0.1_,z_y__z__y__y__y_,6,0.16,2.55,0.005,,1
roll_z_0_1roll_y_0_1pitch_y_0_1pitch_y_0_1pitch_z_0_4roll_y_0_7,roll_roll__pitch__pitch__pitch__roll_,0.1_0.1__0.1__0.1__0.4__0.7_,z_y__y__y__z__y_,6,0.201,2.52,0.005,,1
roll_z_0_1pitch_y_0_7roll_y_0_7pitch_y_0_4pitch_y_0_4pitch_y_0_1,roll_pitch__roll__pitch__pitch__pitch_,0.1_0.7__0.7__0.4__0.4__0.1_,z_y__y__y__y__y_,6,0.203,2.11,0.006,,1
roll_z_0_1pris_y_0_7roll_z_0_4pitch_y_0_7pitch_y_0_4roll_z_0_4,roll_pris__roll__pitch__pitch__roll_,0.1_0.7__0.4__0.7__0.4__0.4_,z_y__z__y__y__z_,6,0.204,2.23,0.01,,1
roll_z_0_1pitch_y_0_7roll_z_0_1pitch_y_0_4pitch_y_0_1roll_x_0_1,roll_pitch__roll__pitch__pitch__roll_,0.1_0.7__0.1__0.4__0.1__0.1_,z_y__z__y__y__x_,6,0.177,2.44,0.011,,1
roll_z_0_1pitch_y_0_7roll_y_0_1roll_y_0_4roll_y_0_4roll_y_0_7,roll_pitch__roll__roll__roll__roll_,0.1_0.7__0.1__0.4__0.4__0.7_,z_y__y__y__y__y_,6,0.172,2.53,0.011,,1
roll_z_0_1pitch_y_0_7roll_y_0_4roll_y_0_4roll_y_0_7roll_y_0_1,roll_pitch__roll__roll__roll__roll_,0.1_0.7__0.4__0.4__0.7__0.1_,z_y__y__y__y__y_,6,0.178,2.46,0.011,,1
roll_z_0_1pris_y_0_7roll_x_0_7pitch_y_0_4roll_x_0_7roll_y_0_7,roll_pris__roll__pitch__roll__roll_,0.1_0.7__0.7__0.4__0.7__0.7_,z_y__x__y__x__y_,6,0.211,2.36,0.011,,1
roll_z_0_1roll_y_0_1pitch_y_0_1pitch_y_0_1roll_x_0_7pitch_y_0_1,roll_roll__pitch__pitch__roll__pitch_,0.1_0.1__0.1__0.1__0.7__0.1_,z_y__y__y__x__y_,6,0.189,2.83,0.011,,1
roll_z_0_1pitch_y_0_7roll_z_0_1pitch_y_0_4pitch_y_0_1roll_z_0_1,roll_pitch__roll__pitch__pitch__roll_,0.1_0.7__0.1__0.4__0.1__0.1_,z_y__z__y__y__z_,6,0.167,2.48,0.012,,1
